#	GRBname	TrigID	T90	Eiso	Eisolow	Eisohi	Ep	Eplow	Ephi	z
30	GRB160821B	709357.0	0.48	48.95011764500699	0.21847953581450388	0.21960856635544027	2.0759601681996673	0.41236052534723355	0.41068565893498465	0.16
81	GRB130603B	557310.0	0.176	51.78332499335107	0.4255275776557459	0.47174968266663136	3.504795317683228	0.38582065673246735	0.3861450868972966	0.3565
103	GRB120804A	529686.0	0.808	52.13739226631432	0.3130898061851266	0.3137594558600442	2.9312294491420783	0.3802082493090014	0.38025376622054713	1.3
142	GRB100724A	429868.0	1.39	50.93820800067158	0.1942586510645478	0.20421504048747421	2.332866422647579	0.43302844662332396	0.4285681518429817	1.288
144	GRB100625A	425647.0	0.332	51.44071127668421	0.49789818432253197	0.5738532951146994	3.4052549834556447	0.40743707732036905	0.4084759286642053	0.452
155	GRB100117A	382941.0	0.292	51.81230049235134	0.7558360748289465	1.0398557175449037	3.5446775365597505	0.5446361021893068	0.5609678907334676	0.915
170	GRB090426	350479.0	1.24	51.67838801170197	0.207703381777833	0.22558448766364161	2.6060010652253354	0.4346445683699254	0.43016863146655704	2.609
194	GRB080905A	323870.0	1.02	50.35794822555342	0.9504669969750218	1.2539533026122887	3.4777600617493274	0.6041332979474349	0.6340938583835907	0.1218
217	GRB070809	287344.0	1.28	49.290173966441685	0.18657524946004883	0.24786027589609522	2.301588005260333	0.43626647595890955	0.43281793600174295	0.2187
219	GRB070724A	285948.0	0.432	49.401351521492515	0.2707955735901915	0.26397290433251924	2.191044472505035	0.48339239015654795	0.4692904970300969	0.4571
227	GRB070429B	277582.0	0.488	50.449301428200094	0.25133292215885855	0.2606798220703722	2.5098301412900508	0.4419864705576232	0.4384630826182871	0.9023
251	GRB060801	222154.0	0.504	53.68250369428159	1.2318653797894479	1.8278269234662443	4.573805490812339	0.8601684380940361	0.9148296353096087	1.1304
265	GRB060502B	208275.0	0.144	50.51545898325889	1.006982461733086	1.1216268795516935	3.185275919362698	0.48878329843891843	0.49735471780381146	0.287
293	GRB050813	150139.0	0.384	51.1100423198417	1.702102005040837	1.8885871042541105	2.9679564795866664	0.5903890007291999	0.6046664567071215	0.722
303	GRB050509B	118749.0	0.024	49.24726230762723	2.061566782900252	2.5091999376384795	2.7376749197617314	0.6313178727022706	0.6372426507070964	0.2249
