#	RA	DEC
0	251.0	72.4
1	21.5	63.1
2	15.9	-73.8
3	52.9	37.1
4	184.0	45.6
5	196.0	29.6
6	76.9	-32.8
7	286.0	-0.135
8	124.0	-14.5
9	91.4	-60.8
10	303.0	-45.3
11	310.0	-31.2
12	239.0	-11.1
13	177.0	58.2
14	5.67	-0.264
15	255.0	-30.4
16	7.42	-2.22
17	116.0	-4.63
18	85.2	-13.4
19	336.0	-7.53
20	47.7	-52.3
21	300.0	51.7
22	60.6	-50.2
23	223.0	35.9
24	199.0	11.3
25	101.0	-62.0
26	213.0	51.4
27	252.0	17.0
28	56.4	9.49
29	249.0	41.7
30	343.0	-59.1
31	160.0	19.5
32	34.1	12.8
33	108.0	-56.5
34	3.09	51.1
35	295.0	44.9
36	228.0	-8.14
37	210.0	27.5
38	56.5	5.61
39	307.0	53.0
40	107.0	-83.7
41	5.36	-8.68
42	319.0	-16.7
43	155.0	-38.2
44	281.0	26.7
45	301.0	-40.3
46	225.0	-9.75
47	133.0	5.0
48	215.0	22.8
49	54.3	-32.2
50	269.0	46.0
51	252.0	43.7
52	283.0	47.6
53	116.0	-62.3
54	233.0	6.11
55	352.0	-40.4
56	10.1	-67.1
57	340.0	-17.3
58	245.0	-73.6
59	30.3	24.5
60	44.7	-27.9
61	49.2	-39.6
62	31.7	-36.9
63	86.4	-15.9
64	101.0	59.5
65	44.5	-8.96
66	252.0	27.3
67	215.0	-41.9
68	250.0	-34.0
69	341.0	-29.7
70	126.0	-13.3
71	240.0	13.0
72	337.0	-41.2
73	107.0	-29.6
74	28.1	58.9
75	294.0	-32.8
76	224.0	41.5
77	245.0	-5.29
78	305.0	-4.65
79	183.0	67.2
80	325.0	-56.1
81	46.2	-7.66
82	298.0	-33.0
83	115.0	-38.8
84	98.8	52.3
85	82.4	-7.58
86	126.0	-20.3
87	280.0	40.3
88	48.7	20.2
89	182.0	-60.2
90	28.6	27.6
91	342.0	39.9
92	49.6	-47.2
93	118.0	-45.9
94	212.0	53.5
95	330.0	-76.7
96	190.0	76.6
97	197.0	42.0
98	351.0	54.9
99	22.6	55.7
100	167.0	9.39
101	53.2	45.5
102	54.5	-26.9
103	175.0	18.9
104	65.5	2.2
105	277.0	-53.6
106	55.6	63.6
107	33.2	38.1
108	29.9	23.8
109	213.0	35.3
110	49.8	13.2
111	126.0	6.19
112	248.0	78.5
113	108.0	-39.8
114	281.0	28.0
115	152.0	-29.7
116	268.0	-2.63
117	184.0	14.6
118	302.0	-36.9
119	197.0	52.2
120	147.0	14.7
121	225.0	30.9
122	248.0	19.6
123	56.8	-29.3
124	14.0	-47.4
125	231.0	-35.3
126	208.0	40.1
127	52.6	-23.0
128	52.5	-34.0
129	64.7	15.2
130	76.9	-25.1
131	315.0	-64.5
132	49.2	-58.5
133	91.0	-4.59
134	274.0	46.6
135	269.0	-25.8
136	210.0	14.9
137	7.74	-38.6
138	104.0	39.3
139	170.0	-48.3
140	246.0	74.7
141	300.0	-15.3
142	25.9	-17.5
143	168.0	-45.3
144	254.0	-54.0
145	347.0	-63.1
146	348.0	4.87
147	266.0	-26.6
148	0.529	-2.93
149	336.0	2.79
150	235.0	-0.899
151	38.1	60.3
152	182.0	66.0
153	213.0	-11.6
154	32.6	70.0
155	48.9	-87.5
156	244.0	14.8
157	318.0	-2.36
158	215.0	-60.3
159	358.0	-58.0
160	280.0	23.2
161	170.0	73.8
162	3.07	47.0
163	212.0	-43.1
164	142.0	32.1
165	197.0	37.0
166	202.0	21.4
167	78.0	-62.3
168	276.0	-31.9
169	331.0	-14.7
170	64.4	-32.9
171	170.0	24.9
172	357.0	66.8
173	96.0	12.8
174	35.2	33.5
175	53.4	-50.2
176	83.5	-37.2
177	252.0	-14.9
178	197.0	61.7
179	66.0	13.4
180	82.9	-23.7
181	329.0	-15.1
182	157.0	24.5
183	76.6	56.7
184	265.0	0.738
185	298.0	23.6
186	99.2	-24.5
187	3.38	-54.5
188	203.0	38.1
189	257.0	-36.8
190	327.0	-72.9
191	127.0	11.5
192	330.0	30.9
193	12.0	-15.6
194	19.2	68.7
195	150.0	48.3
196	160.0	-53.6
197	203.0	62.2
198	148.0	35.6
199	212.0	-50.5
200	294.0	20.6
201	98.1	-58.7
202	139.0	-30.5
203	167.0	-12.6
204	186.0	32.5
205	164.0	22.5
206	278.0	9.12
207	250.0	-10.2
208	288.0	22.4
209	61.7	-2.6
210	61.7	-2.6
211	39.3	15.2
212	39.3	15.2
213	237.0	-10.1
214	34.1	-54.4
215	136.0	42.8
216	139.0	52.7
217	22.1	-11.9
218	26.8	30.9
219	215.0	-62.0
220	167.0	-54.3
