GRB110825265	2011-08-25	06:22:11.44	48.128	1.493	2.09E-06	2.44E-08	3.22E-03	6.18E-04	6.18E-04	1.31E+02	2.90E+01	2.90E+01	-1.21E+00	1.26E-01	1.26E-01	-6.41E+00	7.98E+02	7.98E+02	311.8442	-21.766	7.97E-08	1.13E-08	1.71E-06	2.42E-07
GRB160919613	2016-09-19	14:43:21.64	62.465	3.665	5.53E-06	5.45E-08	1.11E-02	2.39E-03	2.39E-03	7.48E+01	1.11E+01	1.11E+01	-9.66E-01	1.25E-01	1.25E-01	-3.49E+00	1.30E+03	1.30E+03	313.1964	-23.9433	1.16E-07	1.69E-08	2.85E-06	4.14E-07
GRB120830212	2012-08-30	05:04:52.74	16.064	3.649	7.52E-06	2.36E-07	1.91E-02	2.26E-03	2.26E-03	2.07E+02	1.93E+01	1.93E+01	-7.39E-01	9.01E-02	9.01E-02	-2.91E+00	7.54E+00	7.54E+00	309.896	-35.1152	5.31E-07	3.28E-08	6.49E-06	4.01E-07
GRB140323433	2014-03-23	10:22:53.12	111.426	3.027	3.24E-05	1.92E-07	1.21E-02	5.03E-04	5.03E-04	1.43E+02	2.11E+01	2.11E+01	-1.04E+00	2.54E-02	2.54E-02	-5.70E+00	2.32E+01	2.32E+01	306.3699	-36.795	2.70E-07	7.18E-09	3.03E-05	8.06E-07
GRB181007737	2018-10-07	17:41:28.37	23.552	0.362	3.06E-06	3.04E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	306.3171	-17.3042	-99.0	-99.0	-99.0	-99.0
GRB100325246	2010-03-25	05:54:43.95	8.192	1.086	1.33E-06	1.74E-08	4.79E-02	2.38E-02	2.38E-02	3.50E+01	5.28E+00	5.28E+00	-6.89E-01	2.98E-01	2.98E-01	-2.47E+00	2.20E-01	2.20E-01	306.1035	-16.6314	1.46E-07	1.35E-08	1.34E-06	1.24E-07
GRB080714425	2008-07-14	10:12:01.84	40.192	1.145	1.81E-06	2.09E-08	5.69E-02	3.27E-01	3.27E-01	3.37E+01	2.91E+01	2.91E+01	-2.22E-01	6.70E-01	6.70E-01	-1.76E+00	1.37E-01	1.37E-01	301.428	-11.1909	1.39E-07	1.97E-08	1.56E-06	2.20E-07
GRB100507577	2010-05-07	13:51:15.73	44.033	5.221	9.97E-06	1.15E-07	4.97E-02	7.10E-03	7.10E-03	1.34E+02	7.53E+00	7.53E+00	4.63E-01	1.08E-01	1.08E-01	-3.47E+00	1.40E+00	1.40E+00	305.3277	-37.9323	2.54E-07	1.37E-08	7.77E-06	4.21E-07
GRB200907957	2020-09-07	22:57:28.09	140.803	1.056	4.05E-05	4.60E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	297.5359	-37.8259	-99.0	-99.0	-99.0	-99.0
GRB171206122	2017-12-06	02:55:44.94	15.36	3.083	1.52E-06	7.30E-08	7.28E-03	1.12E-03	1.12E-03	6.30E+02	2.10E+02	2.10E+02	-1.29E+00	1.41E-01	1.41E-01	-6.33E+00	3.79E+02	3.79E+02	303.8195	-38.9049	5.24E-07	4.46E-08	2.14E-06	1.82E-07
GRB190422284	2019-04-22	06:48:17.50	80.386	0.724	1.36E-05	5.20E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	321.4679	-32.7538	-99.0	-99.0	-99.0	-99.0
GRB140518709	2014-05-18	17:00:43.43	0.704	0.466	3.81E-07	2.68E-08	5.63E+03	2.22E+05	2.22E+05	1.83E+02	6.93E+01	6.93E+01	2.66E+01	7.37E+01	7.37E+01	-1.98E+00	3.77E-01	3.77E-01	312.9219	-19.1752	2.11E-06	3.96E-07	1.35E-07	2.52E-08
GRB130623488	2013-06-23	11:42:47.05	22.272	0.923	2.46E-06	3.00E-08	1.91E-02	2.03E-02	2.03E-02	2.81E+01	4.53E+00	4.53E+00	-1.10E+00	3.50E-01	3.50E-01	-2.36E+00	1.70E-01	1.70E-01	300.7906	-39.2132	1.19E-07	8.58E-09	2.31E-06	1.66E-07
GRB141004150	2014-10-04	03:36:28.90	9.472	0.81	4.10E-06	2.57E-08	1.24E-01	2.44E-02	2.44E-02	6.42E+01	2.70E+00	2.70E+00	-1.90E-01	1.07E-01	1.07E-01	-2.70E+00	1.47E-01	1.47E-01	298.0198	-39.1498	3.55E-07	1.37E-08	4.70E-06	1.81E-07
GRB101024486	2010-10-24	11:39:33.60	20.224	2.828	3.33E-06	1.32E-07	1.50E-01	2.59E-01	2.59E-01	7.19E+01	1.92E+01	1.92E+01	1.40E-01	9.23E-01	9.23E-01	-2.38E+00	6.62E-01	6.62E-01	290.5468	-34.1293	3.78E-07	5.72E-08	1.92E-06	2.91E-07
GRB200119692	2020-01-19	16:37:07.53	19.2	1.999	1.87E-06	2.99E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	316.7092	-23.8268	-99.0	-99.0	-99.0	-99.0
GRB210919653	2021-09-19	15:39:51.96	1.6	1.243	3.31E-07	1.43E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	307.966	-15.1084	-99.0	-99.0	-99.0	-99.0
GRB210826293	2021-08-26	07:01:45.16	19.712	1.145	1.21E-05	6.06E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	290.604	-34.5869	-99.0	-99.0	-99.0	-99.0
GRB190628521	2019-06-28	12:30:55.32	19.2	2.757	2.26E-06	5.98E-08	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	292.7238	-18.2518	-99.0	-99.0	-99.0	-99.0
GRB110716018	2011-07-16	00:25:19.97	7.168	1.747	1.35E-06	3.44E-08	3.54E-02	1.10E-02	1.10E-02	8.78E+01	1.53E+01	1.53E+01	-6.81E-01	1.98E-01	1.98E-01	-3.02E+00	6.00E+02	6.00E+02	313.9442	-36.1906	3.13E-07	4.65E-08	9.58E-07	1.42E-07
GRB180804765	2018-08-04	18:22:19.65	21.504	3.415	3.51E-06	1.16E-07	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	285.6898	-13.4998	-99.0	-99.0	-99.0	-99.0
